"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"25-34",85000,"11 - 20 years","College degree","Woman","Politics","Compliance Manager"
"25-34",60000,"8 - 10 years","Master's degree","Woman","Health care","Speech-Language Pathologist"
"35-44",50000,"11 - 20 years","High School","Woman","Law","Transcriptionist"
"18-24",52000,"2 - 4 years","College degree","Woman","Government and Public Administration","Disease Intervention Specialist"
"25-34",57000,"5-7 years","Master's degree","Woman","Government and Public Administration","Lead Planner"
"25-34",51000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Internal Auditor"
"25-34",54000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","CPA"
"25-34",56000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Director of Distance Education"
"25-34",56000,"2 - 4 years","PhD","Woman","Education (Higher Education)","Assistant Professor"
"18-24",39000,"2 - 4 years","College degree","Woman","Nonprofits","Program Coordinator"
"25-34",40000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Billing & Accounts Receivable Coordinator"
"45-54",68000,"11 - 20 years","College degree","Woman","Software as a Service SaaS","Director, Learning Content & Training"
"35-44",65000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Branch Manager"
"25-34",67000,"8 - 10 years","Master's degree","Woman","Public health in higher education","Program Manager"
"25-34",126000,"8 - 10 years","College degree","Woman","Government and Public Administration","program analyst"
"25-34",75000,"5-7 years","Master's degree","Woman","Business or Consulting","Planning analyst"
"35-44",50000,"11 - 20 years","Master's degree","Woman","Business Services","Representative"
"45-54",146000,"11 - 20 years","PhD","Woman","Health care","Clinical Pharmacist"
"25-34",1e+05,"8 - 10 years","PhD","Woman","Engineering or Manufacturing","Senior Engineer"
"35-44",52000,"11 - 20 years","High School","Woman","Property or Construction","Project Manager"
"25-34",135000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Senior Associate"
"25-34",131000,"8 - 10 years","College degree","Woman","Computing or Tech","Technical Project Manager"
"45-54",64000,"21 - 30 years","Master's degree","Woman","Media & Digital","Special Projects Manager"
"25-34",61800,"5-7 years","College degree","Woman","Business or Consulting","Senior employee communications specialist"
"18-24",49000,"2 - 4 years","College degree","Woman","Law Enforcement & Security","Library Assistant"
"35-44",38800,"11 - 20 years","College degree","Woman","Manufacturing and distributing","Customer Support Representative"
"25-34",50000,"11 - 20 years","Master's degree","Woman","Nonprofits","Financial Administrator"
"25-34",70000,"8 - 10 years","College degree","Woman","Computing or Tech","Marketing Specialist"
"45-54",126000,"31 - 40 years","Master's degree","Woman","Government and Public Administration","Public Health Advisor"
"25-34",107000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Archivist"
"25-34",31500,"8 - 10 years","College degree","Woman","Retail","Customer Experience Manager"
"25-34",80000,"11 - 20 years","College degree","Woman","Sales","Technical Sales Manager"
"45-54",6e+05,"21 - 30 years","PhD","Woman","Law","Equity Partner"
"25-34",105000,"8 - 10 years","Master's degree","Man","Business or Consulting","Management Consultant"
"35-44",120000,"11 - 20 years","Master's degree","Woman","Law","Counsel"
"35-44",82000,"11 - 20 years","College degree","Man","Education (Primary/Secondary)","Programmer Analyst"
"35-44",90000,"11 - 20 years","College degree","Woman","Sales","Client Service Manager"
"35-44",65000,"11 - 20 years","College degree","Woman","Computing or Tech","Sales"
"45-54",80000,"21 - 30 years","College degree","Woman","Computing or Tech","Instructional designer"
"35-44",60000,"11 - 20 years","College degree","Woman","Utilities & Telecommunications","Technical Services Team Lead"
"25-34",180000,"8 - 10 years","College degree","Woman","Computing or Tech","Proposal Manager"
"35-44",157029,"11 - 20 years","Master's degree","Woman","Computing or Tech","Business Architect"
"35-44",120000,"11 - 20 years","College degree","Woman","Computing or Tech","Backend Elixir Engineer"
"25-34",82000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Senior Digital Content Manager"
"35-44",83500,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","HR Manager"
"25-34",44500,"2 - 4 years","Master's degree","Woman","Nonprofits","Prospect Researcher"
"25-34",58240,"5-7 years","Master's degree","Woman","Food manufacturing","Packaging Dept Supervisor"
"25-34",107500,"11 - 20 years","College degree","Woman","Nonprofits","Director of Engagement and Annual Giving"
"45-54",155000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Assistant Deputy Director"
"25-34",82400,"8 - 10 years","College degree","Woman","Property or Construction","HR Manager"
"25-34",65000,"5-7 years","College degree","Woman","Utilities & Telecommunications","QA Analyst IT"
"25-34",82500,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Media Planner - Paid Social"
"25-34",45000,"2 - 4 years","College degree","Woman","Computing or Tech","Customer Support Representative"
"35-44",140000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Brand Manager"
"25-34",201000,"8 - 10 years","Master's degree","Man","Computing or Tech","Product Manager"
"35-44",210000,"11 - 20 years","College degree","Man","Computing or Tech","Engineering Manager"
"25-34",115000,"11 - 20 years","College degree","Woman","Computing or Tech","Customer Success Manager"
"25-34",58800,"5-7 years","Master's degree","Woman","Education (Higher Education)","Instructional design librarian"
"35-44",101360,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Instructional Systems Specialist"
"35-44",103000,"21 - 30 years","College degree","Man","Government and Public Administration","IT Specialist I"
"35-44",170000,"21 - 30 years","College degree","Woman","Computing or Tech","Director, Corporate Communications"
"25-34",80000,"2 - 4 years","Master's degree","Woman","Nonprofits","Managing Editor"
"25-34",66805,"8 - 10 years","PhD","Woman","Government and Public Administration","Historian"
"35-44",90000,"11 - 20 years","Master's degree","Woman","Recruitment or HR","Senior Talent Acquisition Consultant"
"35-44",117000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Assistant director"
"25-34",45000,"5-7 years","Master's degree","Woman","Social Work","Staff Therapist"
"35-44",54000,"1 year or less","Master's degree","Woman","Education (Higher Education)","Systems Librarian"
"25-34",33280,"5-7 years","Master's degree","Woman","Nonprofits","Adult Services Librarian"
"25-34",36000,"5-7 years","Master's degree","Woman","Art & Design","Assistant Technology Coordinator"
"25-34",58000,"11 - 20 years","College degree","Woman","Research and development","Chemist"
"35-44",165000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Project Manager Specialist"
"45-54",102000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Sr. Database Analyst"
"55-64",136000,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Senior manufacturing engineer"
"35-44",110000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director"
"35-44",72100,"8 - 10 years","Master's degree","Woman","Nonprofits","Senior Development Manager"
"35-44",75000,"21 - 30 years","College degree","Woman","Property or Construction","Accounting Manager"
"25-34",55000,"5-7 years","College degree","Woman","Recruitment or HR","Associate of Talent Management and Culture"
"35-44",78000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Email Marketing Director"
"25-34",50000,"5-7 years","College degree","Woman","Entertainment","Publicity Coordinator"
"45-54",145000,"21 - 30 years","College degree","Woman","Health care","HR Business Partner"
"55-64",1e+05,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Controller"
"25-34",64800,"5-7 years","Master's degree","Woman","Business or Consulting","Senior Research Analyst"
"35-44",70600,"5-7 years","PhD","Woman","Education (Higher Education)","Senior Research Analyst"
"45-54",65000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Executive Assistant"
"35-44",75000,"11 - 20 years","College degree","Woman","Retail","Internal communications specialist"
"35-44",40000,"11 - 20 years","College degree","Woman","Media & Digital","Reporter"
"35-44",47840,"11 - 20 years","College degree","Woman","Retail","Operations Manager"
"35-44",92000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Donor Relations"
"55-64",165000,"31 - 40 years","Master's degree","Woman","Government and Public Administration","State Librarian & Associate Vice Chancellor for Libraries"
"55-64",39917,"31 - 40 years","Master's degree","Woman","Law","Word Processor"
"35-44",53000,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","9-12 grade teacher"
"25-34",59400,"2 - 4 years","Master's degree","Woman","Nonprofits","Advocacy and Grassroot Specialist"
"18-24",54075,"1 year or less","College degree","Man","Engineering or Manufacturing","Quality Engineer"
"25-34",53895,"2 - 4 years","Master's degree","Woman","Government and Public Administration","Budget Analyst"
"35-44",76000,"11 - 20 years","College degree","Woman","Health care","Sales Operations"
"25-34",67080,"2 - 4 years","Master's degree","Woman","Engineering or Manufacturing","Engineer in Training (Civil)"
"45-54",115000,"21 - 30 years","College degree","Woman","B2B Services","Business Systems Manager"
"25-34",72000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Assistant Director, Data Integrity"
"25-34",71400,"8 - 10 years","College degree","Woman","Computing or Tech","Content Development Manager"
"25-34",64000,"5-7 years","Master's degree","Woman","Sales","Inside Sales - Projects"
"35-44",53000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Senior Tax/Fixed Asset Specialist"
"55-64",72000,"21 - 30 years","College degree","Woman","Nonprofits","Senior Editor"
"45-54",120000,"21 - 30 years","College degree","Man","Oil and Gas","Senior Software Engineer"
"35-44",103500,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Deputy Director"
"35-44",139000,"11 - 20 years","College degree","Woman","Government and Public Administration","Director of Accounting"
"35-44",90000,"11 - 20 years","Master's degree","Man","Entertainment","Manager, Production"
"25-34",53000,"8 - 10 years","College degree","Woman","Law","paralegal"
"35-44",117000,"11 - 20 years","Master's degree","Woman","Health care","Manager, Reporting and Analytics"
"35-44",1e+05,"11 - 20 years","Master's degree","Woman","Media & Digital","Account Manager"
"35-44",52000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Project Assistant"
"25-34",40000,"5-7 years","Master's degree","Woman","Recruitment or HR","HR Coordinator"
"18-24",32000,"2 - 4 years","College degree","Woman","Government and Public Administration","Office Operations Associate"
"25-34",60500,"5-7 years","College degree","Woman","Nonprofits","HR Project Associate"
"25-34",87000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Civil Engineer"
"25-34",95000,"8 - 10 years","College degree","Man","Computing or Tech","Data Engineer"
"25-34",89000,"2 - 4 years","College degree","Man","Engineering or Manufacturing","Flight Test Engineer"
"35-44",70000,"11 - 20 years","Master's degree","Woman","Social Work","Program Director"
"25-34",72000,"8 - 10 years","College degree","Woman","Education (Higher Education)","Arts Producer"
"35-44",78400,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Tax Manager"
"25-34",50000,"5-7 years","College degree","Man","Accounting, Banking & Finance","Member Financial Transaction Services"
"35-44",90000,"11 - 20 years","College degree","Man","Health care","Consultant"
"35-44",73000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Director of Student Life"
"45-54",90000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Assistant Director"
